ID     Combinação   Tipo   Letras    
1072   uxe          VCV    uxe
1073   uxi          VCV    uxi
1074   uxo          VCV    uxo
1075   uxu          VCV    uxu
1076   uza          VCV    uza
1077   uze          VCV    uze
1078   uzi          VCV    uzi
1079   uzo          VCV    uzo
1080   uzu          VCV    uzu
1081   vab          CVC    vab
1082   vad          CVC    vad
1083   val          CVC    val
1084   vam          CVC    vam
1085   van          CVC    van
1086   vap          CVC    vap
1087   var          CVC    var
1088   vas          CVC    vas
1089   vat          CVC    vat
1090   vax          CVC    vax
1091   vaz          CVC    vaz
1092   veb          CVC    veb
1093   ved          CVC    ved
1094   vel          CVC    vel
1095   vem          CVC    vem
1096   ven          CVC    ven
1097   vep          CVC    vep
1098   ver          CVC    ver
1099   ves          CVC    ves
1100   vet          CVC    vet
1101   vex          CVC    vex
1102   vez          CVC    vez
1103   vib          CVC    vib
1104   vid          CVC    vid
1105   vil          CVC    vil
1106   vim          CVC    vim
1107   vin          CVC    vin
1108   vip          CVC    vip
1109   vir          CVC    vir
1110   vis          CVC    vis
1111   vit          CVC    vit
1112   vix          CVC    vix
1113   viz          CVC    viz
1114   vob          CVC    vob
1115   vod          CVC    vod
1116   vol          CVC    vol
1117   vom          CVC    vom
1118   von          CVC    von
1119   vop          CVC    vop
1120   vor          CVC    vor
1121   vos          CVC    vos
1122   vot          CVC    vot
1123   vox          CVC    vox
1124   voz          CVC    voz
1125   vub          CVC    vub
1126   vud          CVC    vud
1127   vul          CVC    vul
1128   vum          CVC    vum
1129   vun          CVC    vun
1130   vup          CVC    vup
1131   vur          CVC    vur
1132   vus          CVC    vus
1133   vut          CVC    vut
1134   vux          CVC    vux
1135   vuz          CVC    vuz
1136   xab          CVC    xab
1137   xad          CVC    xad
1138   xal          CVC    xal
1139   xam          CVC    xam
1140   xan          CVC    xan
1141   xap          CVC    xap
1142   xar          CVC    xar
1143   xas          CVC    xas
1144   xat          CVC    xat
1145   xax          CVC    xax
1146   xaz          CVC    xaz
1147   xeb          CVC    xeb
1148   xed          CVC    xed
1149   xel          CVC    xel
1150   xem          CVC    xem
1151   xen          CVC    xen
1152   xep          CVC    xep
1153   xer          CVC    xer
1154   xes          CVC    xes
1155   xet          CVC    xet
1156   xex          CVC    xex
1157   xez          CVC    xez
1158   xib          CVC    xib
1159   xid          CVC    xid
1160   xil          CVC    xil
1161   xim          CVC    xim
1162   xin          CVC    xin
1163   xip          CVC    xip
1164   xir          CVC    xir
1165   xis          CVC    xis
1166   xit          CVC    xit
1167   xix          CVC    xix
1168   xiz          CVC    xiz
1169   xob          CVC    xob
1170   xod          CVC    xod
1171   xol          CVC    xol
1172   xom          CVC    xom
1173   xon          CVC    xon
1174   xop          CVC    xop
1175   xor          CVC    xor
1176   xos          CVC    xos
1177   xot          CVC    xot
1178   xox          CVC    xox
1179   xoz          CVC    xoz
1180   xub          CVC    xub
1181   xud          CVC    xud
1182   xul          CVC    xul
1183   xum          CVC    xum
1184   xun          CVC    xun
1185   xup          CVC    xup
1186   xur          CVC    xur
1187   xus          CVC    xus
1188   xut          CVC    xut
1189   xux          CVC    xux
1190   xuz          CVC    xuz
1191   zab          CVC    zab
1192   zad          CVC    zad
1193   zal          CVC    zal
1194   zam          CVC    zam
1195   zan          CVC    zan
1196   zap          CVC    zap
1197   zar          CVC    zar
1198   zas          CVC    zas
1199   zat          CVC    zat
1200   zax          CVC    zax
1201   zaz          CVC    zaz
1202   zeb          CVC    zeb
1203   zed          CVC    zed
1204   zel          CVC    zel
1205   zem          CVC    zem
1206   zen          CVC    zen
1207   zep          CVC    zep
1208   zer          CVC    zer
1209   zes          CVC    zes
1210   zet          CVC    zet
1211   zex          CVC    zex
1212   zez          CVC    zez
1213   zib          CVC    zib
1214   zid          CVC    zid
1215   zil          CVC    zil
1216   zim          CVC    zim
1217   zin          CVC    zin
1218   zip          CVC    zip
1219   zir          CVC    zir
1220   zis          CVC    zis
1221   zit          CVC    zit
1222   zix          CVC    zix
1223   ziz          CVC    ziz
1224   zob          CVC    zob
1225   zod          CVC    zod
1226   zol          CVC    zol
1227   zom          CVC    zom
1228   zon          CVC    zon
1229   zop          CVC    zop
1230   zor          CVC    zor
1231   zos          CVC    zos
1232   zot          CVC    zot
1233   zox          CVC    zox
1234   zoz          CVC    zoz
1235   zub          CVC    zub
1236   zud          CVC    zud
1237   zul          CVC    zul
1238   zum          CVC    zum
1239   zun          CVC    zun
1240   zup          CVC    zup
1241   zur          CVC    zur
1242   zus          CVC    zus
1243   zut          CVC    zut
1244   zux          CVC    zux
1245   zuz          CVC    zuz
